job_id,company_name,job_title,minimum_salary,maximum_salary,job_address,job_description,company_website,for_more_info
4694942,"Марафон, магазин","Продавец-консультант (""Спектр"", Lavina, ...",12000,40000,Киев,"«МАРАФОН» — це українська торгова мережа, яка спеціалізується на прода...",http://marathon.com.ua/,https://www.work.ua/ru/jobs/4694942/
4344790,Vitacom Діагностика,Лікар УЗД,no_info,no_info,"Черкассы, вулиця Менделєєва, 7.",Вимоги: Мережа медичних центрів VitaCom Діагностика запрошує в свою ко...,http://vitacom.org,https://www.work.ua/ru/jobs/4344790/
3937058,"Копейка, торговая сеть",Инспектор отдела кадров,no_info,no_info,"Одесса, Київське шосе, 10з.",Крупный Дистрибьютор приглашает «Инспектора отдела кадров»Требования:В...,http://kopeyka.com.ua/,https://www.work.ua/ru/jobs/3937058/
4694936,"Беляк В.В., ФОП",Руководитель отдела маркетинга (образова...,no_info,no_info,Киев,Компания Test Pro — в поискеРуководителя отдела маркетингаУважаемые со...,no_info,https://www.work.ua/ru/jobs/4694936/
3910784,Poster,Middle PHP Developer,no_info,no_info,Днепр,"В Poster мы делаем систему автоматизации для кафе, ресторанов, магазин...",http://joinposter.com,https://www.work.ua/ru/jobs/3910784/
4071821,One Group,Водитель со своим авто (универсал),no_info,18000,Киев,Деловые и личностные качества:Умение работать в режиме многозадачности...,http://onegroup.ua,https://www.work.ua/ru/jobs/4071821/
3910789,Poster,Middle JavaScript Developer,no_info,no_info,Киев,"В Poster мы делаем систему автоматизации для кафе, ресторанов, магазин...",http://joinposter.com,https://www.work.ua/ru/jobs/3910789/
4012176,УкрСушка,"Сварщик (аргон), слесарь, сборщик",24000,30000,Днепр,"Если вы считаете себя хорошим специалистом, приглашаем вас на наше пре...",http://ik-sushka.com,https://www.work.ua/ru/jobs/4012176/
4694927,DiJust,Game Mathematician,no_info,no_info,Киев,"DiJust ищет эксперта в математике, у которого есть огромный интерес к ...",http://dijust.com,https://www.work.ua/ru/jobs/4694927/
3136692,A-Shop,"Помічник продавця-консультанта (ТРЦ ""Мос...",no_info,no_info,"Днепр, вулиця Глінки, 2.",Робота у вихідні. Ти студент і хочешь почати працювати? Тоді ця ваканс...,http://www.a-shop.ua,https://www.work.ua/ru/jobs/3136692/
4236607,"Non-Stop, taxi","Водитель такси на авто компании (Uklon, ...",20000,30000,"Киев, вулиця Лісківська, 23.","NON STOP TAXI — официальный партнер Uber, Bolt, Uklon, входим в ТОП-5 ...",no_info,https://www.work.ua/ru/jobs/4236607/
4692871,Ledos,"Мастер ручной работы, сборщик продукции ...",12000,16000,"Киев, вулиця Сім'ї Сосніних, 7.",🌍 В связи с расширением и выходом на международный рынок предлагаем пр...,http://ledos.com.ua,https://www.work.ua/ru/jobs/4692871/
2900663,"Топ-Текс, ООО",Комплектовщик,no_info,12500,Киев,ООО «ТОП-ТЕКС» — одна из крупных компаний Украины по производству и ре...,http://www.tornado.kiev.ua,https://www.work.ua/ru/jobs/2900663/
4424181,Smart Solutions UK,Специалист отдела продаж со знанием поль...,28500,45700,Одесса,Привет! Меня зовут Валерия и я — менеджер по подбору персонала 😊Хочу д...,no_info,https://www.work.ua/ru/jobs/4424181/
4691223,"Гречишкін О.В., ФОП",Продавец в зоомагазин,14000,18000,"Киев, вулиця Урлівська, 4.",Вимоги: В зоомагазин потрібен продавець-консультант від 21−35 року.На ...,no_info,https://www.work.ua/ru/jobs/4691223/
4539001,"ОН Клінік, мережа медичних центрів",Middle SEO Specialist,no_info,no_info,"Харьков, вулиця Липова, 14.","Компанія «ОН Клінік» — це всеукраїнська мережа медичних центрів, кліні...",http://www.onclinic.ua,https://www.work.ua/ru/jobs/4539001/
4532155,Аксікор,Інженер ВТВ,no_info,25000,"Киев, бульвар Вацлава Гавела, 16А.",Компанія «Axicore» — провідний системний інтегратор для корпоративного...,http://axicore.com.ua,https://www.work.ua/ru/jobs/4532155/
3905830,Аксікор,"Монтажник систем безпеки, відеоспостереж...",18000,25000,"Киев, бульвар Вацлава Гавела, 16А.",Компанія «Axicore» — провідний системний інтегратор для корпоративного...,http://axicore.com.ua,https://www.work.ua/ru/jobs/3905830/
4673044,Аксікор,Головний інженер проєкту,no_info,no_info,"Киев, бульвар Вацлава Гавела, 16А.",Компанія «Аксікор» — провідний системний інтегратор для корпоративного...,http://axicore.com.ua,https://www.work.ua/ru/jobs/4673044/
3905825,Аксікор,Інженер-проєктувальник телекомунікаційни...,no_info,no_info,"Киев, бульвар Вацлава Гавела, 16А.",Компанія «Axicore» — провідний системний інтегратор для корпоративного...,http://axicore.com.ua,https://www.work.ua/ru/jobs/3905825/
4694860,Энерджи Трейд Групп,Бухгалтер,no_info,14000,Киев,"Вимоги: вища освіта (фінанси, бухгалтерський облік)досвід роботи на ан...",http://etg.com.ua/,https://www.work.ua/ru/jobs/4694860/
4694859,Urban Planet,Оператор інтернет-магазина,no_info,8000,Ровно,"Вимоги:грамотна мова, чітка дикція;вільне володіння українською та рос...",http://urbanplanet-streetwear.com/,https://www.work.ua/ru/jobs/4694859/
4590092,Columb Trade,Менеджер з продажу авто з США зі знанням...,no_info,50000,Киев,"Провідна міжнародна компанія з доставки авто з США COLUMB TRADE, офіці...",http://columbauto.com.ua,https://www.work.ua/ru/jobs/4590092/
4372300,"Бинотел, ООО",Менеджер по продажам,17000,30000,"Киев, вулиця Здолбунівська, 7Д.","Кто мы?Мы IT-компания, которая предоставляет услуги бизнес телефонии, ...",http://binotel.ua,https://www.work.ua/ru/jobs/4372300/
